bee,bee_family,bee_rank,plant,plant_common_name,plant_family,source_backed_rows,near_local_rows,within150_rows,direct_visit_feeding_rows,general_association_rows,weak_nearby_rows,interaction_types,top_localities
Megachile davidsoni,Megachilidae,species,Dalea lasiathera,,Fabaceae,1,0,0,0,1,0,interactsWith:1,Sonora:1
Megachile exilis,Megachilidae,species,Marrubium vulgare,horehound,Lamiaceae,2,0,2,0,2,0,interactsWith:2,Kerrville:2
Megachile exilis,Megachilidae,species,Monarda citriodora,lemon beebalm / lemon horsemint,Lamiaceae,2,2,2,0,2,0,interactsWith:2,
Megachile fortis,Megachilidae,species,Helianthus annuus,common sunflower,Asteraceae,8,8,8,0,8,0,interactsWith:8,
Megachile frugalis pseudofrugalis,Megachilidae,subspecies,Aster,aster,Asteraceae,2,0,0,0,2,0,interactsWith:2,Devils River:2
Megachile frugalis pseudofrugalis,Megachilidae,subspecies,Monarda citriodora,lemon beebalm / lemon horsemint,Lamiaceae,6,0,0,0,6,0,interactsWith:6,Devils River:6
Megachile frugalis pseudofrugalis,Megachilidae,subspecies,Phacelia,phacelia,Hydrophyllaceae,3,0,3,0,3,0,interactsWith:3,"Concan, 8 mi S:3"
Megachile gentilis,Megachilidae,species,Gaillardia pulchella,,Asteraceae,2,0,0,0,2,0,interactsWith:2,Devils River:2
Megachile georgica,Megachilidae,species,Pontederia cordata,,Pontederiaceae,6,6,6,0,6,0,interactsWith:6,Bastrop:6
Megachile inimica,Megachilidae,species,Croton monanthogynus,one-seed croton / prairie tea,Euphorbiaceae,2,2,2,0,2,0,interactsWith:2,
Megachile inimica,Megachilidae,species,Helenium amarum var. badium,bitter sneezeweed,Asteraceae,2,2,2,0,2,0,interactsWith:2,
Megachile instita,Megachilidae,species,Astragalus,,Fabaceae,2,0,2,0,2,0,interactsWith:2,Davis Mountains:2
Megachile instita,Megachilidae,species,Sphaeralcea,,Malvaceae,1,0,1,0,1,0,interactsWith:1,Davis Mountains:1
Megachile lippiae,Megachilidae,species,Astragalus,,Fabaceae,1,0,1,0,1,0,interactsWith:1,Cherry Spring:1
Megachile lippiae,Megachilidae,species,Crataegus,,Rosaceae,3,0,3,0,3,0,interactsWith:3,Davis Mountains:3
Megachile lippiae,Megachilidae,species,Larrea tridentata,creosote bush,Zygophyllaceae,3,0,3,0,3,0,interactsWith:3,"Balmorhea, 7 km E:3"
Megachile lippiae,Megachilidae,species,Phacelia,phacelia,Hydrophyllaceae,2,1,2,0,2,0,interactsWith:2,"Concan, 8 mi S:1; Bastrop State Park:1"
Megachile lippiae,Megachilidae,species,Sphaeralcea,,Malvaceae,4,0,0,0,4,0,interactsWith:4,Sonora:4
Megachile lippiae,Megachilidae,species,Tephrosia virginiana,goat’s-rue,Fabaceae,3,3,3,0,3,0,interactsWith:3,McDade:3
Megachile lippiae,Megachilidae,species,Vitex,vitex / chaste tree group,Lamiaceae,2,2,2,0,2,0,interactsWith:2,"Georgetown, 5 mi S:2"
Megachile mendica,Megachilidae,species,Penstemon,beardtongue,Plantaginaceae,1,1,1,0,1,0,interactsWith:1,"Giddings, 9 mi W:1"
Megachile mendica,Megachilidae,species,Salix,willow,Salicaceae,1,0,1,0,1,0,interactsWith:1,Lexington:1
Megachile montivaga,Megachilidae,species,Argemone albiflora,white prickly poppy,Papaveraceae,2,2,2,0,2,0,interactsWith:2,
Megachile montivaga,Megachilidae,species,Cirsium altissimum,,Asteraceae,1,1,1,0,1,0,interactsWith:1,Austin:1
Megachile newberryae,Megachilidae,species,Sphaeralcea,,Malvaceae,2,0,2,0,2,0,interactsWith:2,Davis Mountains:2
Megachile parallela,Megachilidae,species,Gaillardia suavis,perfumeball / pincushion daisy,Asteraceae,4,0,4,0,4,0,interactsWith:4,"Kerrville, 10 mi N:2; United States of America:2"
Megachile parallela,Megachilidae,species,Helianthus maximiliani,Maximilian sunflower,Asteraceae,1,0,1,0,1,0,interactsWith:1,
Megachile parallela,Megachilidae,species,Nepeta cataria,catnip,Lamiaceae,1,0,1,0,1,0,interactsWith:1,Kerrville:1
Megachile parallela,Megachilidae,species,Pinaropappus roseus,,Asteraceae,2,0,2,0,2,0,interactsWith:2,United States of America:2
Megachile parallela,Megachilidae,species,Ratibida columnifera,Mexican hat / upright prairie coneflower,Asteraceae,1,1,1,0,1,0,interactsWith:1,Bastrop:1
