id,sourceWorkbookRow,bee,family,rank,beeSide,interaction,interactionGroup,interactionMeaning,partner,partnerFamily,partnerGenus,partnerKingdom,plant,sourceBacked,locality,locationClass,localityScore,lat,lon,distanceMi,eventDate,basis,sourceShort,citation,sourceUrl,sourceArchiveURI,referenceDoi
181,2436,Halictus ligatus,Halictidae,species,source,visitsFlowersOf,Flower visit / pollination lead,bee was recorded visiting flowers of this plant; usually strong plant-use evidence,Helianthus annuus,Asteraceae,Helianthus,,False,True,,≤50 mi from Kyle coordinate,3,30.5656572634,-97.6134441988,42.8,2019-07-20T22:27:55Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/29203330,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
182,2464,Bombus pensylvanicus,Apidae,species,source,eats,Feeding,bee was recorded feeding on or eating material from this partner,Helianthus occidentalis,Asteraceae,Helianthus,Plantae,True,True,,≤150 mi from Kyle coordinate,1,29.1075146463,-97.0262164336,79.5,2024-09-09T16:19:17Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/240398868,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
183,2468,Melissodes bimaculatus,Apidae,species,source,visits,Visit,bee was recorded visiting this partner; context may be broader than flowers,Sphaeralcea ambigua,Malvaceae,Sphaeralcea,,False,True,,≤50 mi from Kyle coordinate,3,30.344155,-97.743214,25.8,2023-06-15T19:58:58Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/167292009,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
184,2481,Bombus sonorus,Apidae,species,source,visitsFlowersOf,Flower visit / pollination lead,bee was recorded visiting flowers of this plant; usually strong plant-use evidence,Plumbago,Plumbaginaceae,Plumbago,,False,True,,≤150 mi from Kyle coordinate,1,29.4635497306,-98.4833517965,51.4,2024-09-05T03:05:00Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/239859934,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
185,2484,Melissodes bimaculatus,Apidae,species,source,visits,Visit,bee was recorded visiting this partner; context may be broader than flowers,Monarda,Lamiaceae,Monarda,,False,True,,≤50 mi from Kyle coordinate,3,30.3440783333,-97.743195,25.8,2023-06-15T20:02:39Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/167034818,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
186,2490,Bombus sonorus,Apidae,species,source,visitsFlowersOf,Flower visit / pollination lead,bee was recorded visiting flowers of this plant; usually strong plant-use evidence,Salvia,Lamiaceae,Salvia,,False,True,,≤50 mi from Kyle coordinate,3,30.580915171,-97.4142392758,49.3,2024-09-23T04:37:20Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/240016708,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
187,2500,Bombus pensylvanicus,Apidae,species,source,visitsFlowersOf,Flower visit / pollination lead,bee was recorded visiting flowers of this plant; usually strong plant-use evidence,Liatris,Asteraceae,Liatris,,False,True,,≤50 mi from Kyle coordinate,3,30.016324131,-97.1129232867,45.8,2024-09-04T14:36:23Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/239723193,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
188,2501,Bombus sonorus,Apidae,species,source,visitsFlowersOf,Flower visit / pollination lead,bee was recorded visiting flowers of this plant; usually strong plant-use evidence,Solanum aethiopicum,Solanaceae,Solanum,,False,True,,≤50 mi from Kyle coordinate,3,30.5909583333,-97.6729366667,43.3,2024-09-05T01:27:58Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/239458485,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
189,2503,Bombus pensylvanicus,Apidae,species,source,visitsFlowersOf,Flower visit / pollination lead,bee was recorded visiting flowers of this plant; usually strong plant-use evidence,Melochia tomentosa,Malvaceae,Melochia,Plantae,True,True,,≤25 mi from Kyle coordinate,4,30.245849956,-97.7323481427,19.7,2024-09-05T01:34:38Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/239478318,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
190,2505,Bombus sonorus,Apidae,species,source,visitsFlowersOf,Flower visit / pollination lead,bee was recorded visiting flowers of this plant; usually strong plant-use evidence,Melochia tomentosa,Malvaceae,Melochia,Plantae,True,True,,≤25 mi from Kyle coordinate,4,30.3042595424,-97.76987676,22.7,2024-09-05T01:37:04Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/239478319,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
191,2507,Bombus sonorus,Apidae,species,source,visitsFlowersOf,Flower visit / pollination lead,bee was recorded visiting flowers of this plant; usually strong plant-use evidence,Melochia tomentosa,Malvaceae,Melochia,Plantae,True,True,,≤50 mi from Kyle coordinate,3,30.3467913367,-97.6029815593,29.7,2024-09-05T01:38:36Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/239478455,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
192,2513,Bombus sonorus,Apidae,species,source,visitsFlowersOf,Flower visit / pollination lead,bee was recorded visiting flowers of this plant; usually strong plant-use evidence,Ipomoea,Convolvulaceae,Ipomoea,Plantae,True,True,,≤25 mi from Kyle coordinate,4,30.21142,-97.83947,15.5,2024-09-05T01:22:49Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/239391606,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
193,2520,Bombus sonorus,Apidae,species,source,visitsFlowersOf,Flower visit / pollination lead,bee was recorded visiting flowers of this plant; usually strong plant-use evidence,Salvia,Lamiaceae,Salvia,,False,True,,≤25 mi from Kyle coordinate,4,30.2798759012,-97.6875156827,23.1,2024-09-05T03:34:45Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/239531103,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
194,2525,Bombus sonorus,Apidae,species,source,visitsFlowersOf,Flower visit / pollination lead,bee was recorded visiting flowers of this plant; usually strong plant-use evidence,Salvia,Lamiaceae,Salvia,,False,True,,≤50 mi from Kyle coordinate,3,30.6426533333,-97.6787116667,46.7,2024-09-05T00:49:58Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/239234766,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
