bee_name,bee_family,plant_name,plant_family
Perdita lenis,Andrenidae,Chamaesaracha,Solanaceae
Perdita lepachidis,Andrenidae,Ratibida,Asteraceae
Perdita lingualis,Andrenidae,Ericameria,Asteraceae
Perdita luciae,Andrenidae,Parkinsonia,Fabaceae
Perdita luteola,Andrenidae,Baileya,Asteraceae
Perdita maculigera,Andrenidae,Salix,
Perdita malacothricis,Andrenidae,Baileya,Asteraceae
Perdita mentzeliarum,Andrenidae,Mentzelia,
Perdita minima,Andrenidae,Chamaesyce,Euphorbiaceae
Perdita munita,Andrenidae,Chamaesaracha,Solanaceae
Perdita nasuta,Andrenidae,Eriogonum,
Perdita numerata,Andrenidae,Prosopis,Fabaceae
Perdita obscurata,Andrenidae,Diospyros,
Perdita peculiaris,Andrenidae,Chamaesaracha,Solanaceae
Perdita pedernalensis,Andrenidae,Cephalanthus,Rubiaceae
Perdita perpulchra,Andrenidae,Aphanostephus,Asteraceae
Perdita pilonotata,Andrenidae,Tiquilia,
Perdita pratti,Andrenidae,Helianthus,Asteraceae
Perdita punctosignata,Andrenidae,Parkinsonia,Fabaceae
Perdita purpurascens,Andrenidae,Gaillardia,Asteraceae
Perdita rhodura,Andrenidae,Baileya,Asteraceae
Perdita semicaerulea,Andrenidae,Larrea,
Perdita shinnersi,Andrenidae,Gaillardia,Asteraceae
Perdita sphaeralceae,Andrenidae,Sphaeralcea,Malvaceae
Perdita stathamae,Andrenidae,Prosopis,Fabaceae
Perdita taeniata,Andrenidae,Ericameria,Asteraceae
Perdita translineata,Andrenidae,Baileya,Asteraceae
Perdita triangulifera,Andrenidae,Parkinsonia,Fabaceae
Perdita trifasciata,Andrenidae,Tiquilia,
Perdita trinotata,Andrenidae,Lesquerella,Brassicaceae
Perdita variegata,Andrenidae,Monarda,
Perdita verbesinae,Andrenidae,Baccharis,Asteraceae
Perdita wislizeniae,Andrenidae,Cleome,Capparaceae
Perdita wootonae,Andrenidae,Mentzelia,
Perdita xanthismae,Andrenidae,Xanthisma,Asteraceae
